nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,MMM
Cowes,3922,VIC,Cowes,Phillip Island,Gippsland - South West,Latrobe - Gippsland,4
Dalgety,2628,NSW,Paupong,Jindabyne - Berridale,Snowy Mountains,Capital Region,5
Cranbourne,3977,VIC,Sandhurst,Skye - Sandhurst,Frankston,Mornington Peninsula,1
Woodford,4514,QLD,Woodford (Qld),Woodford - D'Aguilar,Caboolture Hinterland,Moreton Bay - North,2
Langwarrin,3910,VIC,Langwarrin,Langwarrin,Frankston,Mornington Peninsula,1
Kerang,3579,VIC,Kerang,Kerang,Murray River - Swan Hill,North West,5
Fairlight,2094,NSW,Fairlight,Manly - Fairlight,Manly,Sydney - Northern Beaches,1
Greenock,5360,SA,Nain,Light,Barossa,Barossa - Yorke - Mid North,4
Brookfield,4069,QLD,Pullenvale,Pinjarra Hills - Pullenvale,Ipswich Inner,Ipswich,1
Lockwood,3551,VIC,Toolleen,Rushworth,Campaspe,Shepparton,2
Dundas Valley,2117,NSW,Oatlands (NSW),North Parramatta,Parramatta,Sydney - Parramatta,1
Florey,2615,ACT,Strathnairn,Strathnairn,Cotter - Namadgi,Australian Capital Territory,1
Broadbeach Waters,4218,QLD,Mermaid Waters,Mermaid Waters,Surfers Paradise,Gold Coast,1
Blacks Beach,4740,QLD,West Mackay,West Mackay,Mackay,Mackay,2
Marks Point,2280,NSW,Valentine,Valentine - Eleebana,Lake Macquarie - East,Newcastle and Lake Macquarie,1
Redlynch,4870,QLD,Whitfield (Qld),Whitfield - Edge Hill,Cairns - South,Cairns,2
South Lake,6164,WA,Leeming,Jandakot,Cockburn,Perth - South West,1
Glebe,2037,NSW,Forest Lodge,Glebe - Forest Lodge,Sydney Inner City,Sydney - City and Inner South,1
Mount Pleasant,6153,WA,Mount Pleasant (WA),Booragoon,Melville,Perth - South West,1
Maffra,3860,VIC,Maffra (Vic.),Maffra,Wellington,Latrobe - Gippsland,5
Port Kennedy,6172,WA,Port Kennedy,Port Kennedy,Rockingham,Perth - South West,1
Athelstone,5076,SA,Athelstone,Athelstone,Tea Tree Gully,Adelaide - North,1
Bendigo,3550,VIC,White Hills (Vic.),White Hills - Ascot,Bendigo,Bendigo,2
Sunbury,3429,VIC,Sunbury,Sunbury - West,Sunbury,Melbourne - North West,1
Merrimac,4226,QLD,Robina,Robina - West,Robina,Gold Coast,1
Coolangatta,4225,QLD,Bilinga,Currumbin - Tugun,Coolangatta,Gold Coast,1
Narangba,4504,QLD,Narangba,Narangba,Narangba - Burpengary,Moreton Bay - North,1
Shepparton,3630,VIC,Shepparton,Shepparton - South East,Shepparton,Shepparton,3
Hindmarsh Valley,5211,SA,Willow Creek,Yankalilla,Fleurieu - Kangaroo Island,South Australia - South East,3
Balwyn North,3104,VIC,Mont Albert North,Box Hill North,Whitehorse - West,Melbourne - Inner East,1
Redfern,2016,NSW,Redfern,Redfern,Sydney Inner City,Sydney - City and Inner South,1
Elanora,4221,QLD,Palm Beach (Qld),Palm Beach,Mudgeeraba - Tallebudgera,Gold Coast,1
Hamlyn Terrace,2259,NSW,Lake Macquarie,Wangi Wangi - Rathmines,Lake Macquarie - West,Newcastle and Lake Macquarie,1
West Mackay,4740,QLD,West Mackay,West Mackay,Mackay,Mackay,2
Jindalee,6036,WA,Jindalee (WA),Mindarie - Quinns Rocks - Jindalee,Wanneroo,Perth - North West,1
Alexandra Hills,4161,QLD,Birkdale,Capalaba,Cleveland - Stradbroke,Brisbane - East,1
Kimberley,7304,TAS,West Coast,Sheffield - Railton,Devonport,West and North West,5
Cosgrove,4818,QLD,Deeragun,Deeragun - Jensen,Townsville,Townsville,2
Golden Bay,6174,WA,Golden Bay,Singleton - Golden Bay - Secret Harbour,Rockingham,Perth - South West,1
Leederville,6007,WA,West Leederville,Wembley - West Leederville - Glendalough,Perth City,Perth - Inner,1
Clontarf,2093,NSW,North Balgowlah,Manly Vale - Allambie Heights,Warringah,Sydney - Northern Beaches,1
Innaloo,6018,WA,Woodlands (WA),Wembley Downs - Churchlands - Woodlands,Stirling,Perth - North West,1
Yarra Glen,3775,VIC,Yarra Glen,Healesville - Yarra Glen,Yarra Ranges,Melbourne - Outer East,2
Congarinni North,2447,NSW,Wirrimbi,Nambucca Heads Surrounds,Kempsey - Nambucca,Mid North Coast,5
Calderwood,2527,NSW,Yellow Rock (Shellharbour - NSW),Robertson - Fitzroy Falls,Southern Highlands,Southern Highlands and Shoalhaven,2
Prahran,3181,VIC,Prahran,Prahran - Windsor,Stonnington - West,Melbourne - Inner,1
Oran Park,2570,NSW,Oran Park,Oran Park,Bringelly - Green Valley,Sydney - South West,1
Burnside Heights,3023,VIC,Caroline Springs,Caroline Springs,Melton - Bacchus Marsh,Melbourne - West,1
Mornington,7018,TAS,Rokeby (Tas.),Rokeby,Hobart - North East,Hobart,2
Largs Bay,5016,SA,Largs North,North Haven,Port Adelaide - West,Adelaide - West,1
Coombs,2611,ACT,ACT Remainder - Rendezvous Creek,Namadgi,Weston Creek,Australian Capital Territory,1
Boonah,4310,QLD,Boonah (Qld),Boonah,Ipswich Hinterland,Ipswich,5
Australind,6233,WA,Wellesley (WA),Harvey,Bunbury,Bunbury,2
Rooty Hill,2766,NSW,Rooty Hill,Rooty Hill - Minchinbury,Mount Druitt,Sydney - Blacktown,1
Spearwood,6163,WA,Kardinya,Murdoch - Kardinya,Melville,Perth - South West,1
Tennyson Point,2111,NSW,Gladesville,Gladesville - Huntleys Point,Ryde - Hunters Hill,Sydney - Ryde,1
Wantirna South,3152,VIC,Wantirna South,Boronia,Knox,Melbourne - Outer East,1
Derrymore,4352,QLD,Gowrie Junction,Toowoomba - West,Toowoomba,Toowoomba,2
Mango Hill,4509,QLD,North Lakes,North Lakes,North Lakes,Moreton Bay - South,1
Moama,2731,NSW,Moama,Moama,Campaspe,Shepparton,3
Erina,2250,NSW,Wrights Creek (NSW),Bilpin - Colo - St Albans,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,1
Nirimba,4551,QLD,Meridan Plains,Meridan Plains - Little Mountain (North),Sunshine Coast Hinterland,Sunshine Coast,1
Largs North,5016,SA,Largs North,North Haven,Port Adelaide - West,Adelaide - West,1
South Grafton,2460,NSW,Shannon Vale,Glen Innes,Inverell - Tenterfield,New England and North West,3
Dundas,2117,NSW,Oatlands (NSW),North Parramatta,Parramatta,Sydney - Parramatta,1
Narre Warren,3805,VIC,Narre Warren South,Narre Warren South - West,Casey - South,Melbourne - South East,1
Armadale,6112,WA,Piara Waters,Piara Waters - Forrestdale,Gosnells,Perth - South East,1
Engadine,2233,NSW,Woronora Heights,Woronora Heights,Sutherland - Menai - Heathcote,Sydney - Sutherland,1
East Victoria Park,6101,WA,St James (WA),Bentley - Wilson - St James,Belmont - Victoria Park,Perth - South East,1
Traralgon East,3844,VIC,Woodside (Vic.),Yarram,Wellington,Latrobe - Gippsland,3
Rutherford,2320,NSW,Wallalong,Seaham - Woodville,Port Stephens,Hunter Valley exc Newcastle,1
Beechmont,4211,QLD,Pacific Pines,Pacific Pines - Gaven,Robina,Gold Coast,5
Toorak,3142,VIC,Toorak,Toorak,Boroondara,Melbourne - Inner East,1
Balmain,2041,NSW,Balmain,Balmain,Leichhardt,Sydney - Inner West,1
Berwick,3806,VIC,Berwick,Berwick - South West,Casey - South,Melbourne - South East,1
Portland,3305,VIC,Portland (Vic.),Portland,Glenelg - Southern Grampians,Warrnambool and South West,4
Calwell,2905,ACT,Theodore (ACT),Theodore,Tuggeranong,Australian Capital Territory,1
Townsville City,4810,QLD,Townsville City,Townsville City - North Ward,Townsville,Townsville,2
Herston,4006,QLD,Bowen Hills,Newstead - Bowen Hills,Brisbane Inner - North,Brisbane Inner City,1
Kurunjang,3337,VIC,Melton (Vic.),Melton,Melton - Bacchus Marsh,Melbourne - West,1
Doubleview,6018,WA,Woodlands (WA),Wembley Downs - Churchlands - Woodlands,Stirling,Perth - North West,1
Blackburn South,3130,VIC,Blackburn South,Blackburn South,Whitehorse - West,Melbourne - Inner East,1
Lalor,3075,VIC,Lalor,Lalor - West,Whittlesea - Wallan,Melbourne - North East,1
Broughton,4820,QLD,Broughton (Qld),Dalrymple,Charters Towers - Ayr - Ingham,Townsville,4
Bateau Bay,2261,NSW,Tuggerah,Tuggerah - Kangy Angy,Wyong,Central Coast,1
Penrith,2750,NSW,Penrith,Cranebrook - Castlereagh,Penrith,Sydney - Outer West and Blue Mountains,1
Safety Bay,6169,WA,Warnbro,Warnbro,Rockingham,Perth - South West,1
Kanwal,2259,NSW,Lake Macquarie,Wangi Wangi - Rathmines,Lake Macquarie - West,Newcastle and Lake Macquarie,1
Kambah,2902,ACT,Kambah,Kambah,Tuggeranong,Australian Capital Territory,1
Edithvale,3196,VIC,Edithvale,Edithvale - Aspendale,Kingston,Melbourne - Inner South,1
Kedron,4031,QLD,Wooloowin,Wooloowin - Lutwyche,Brisbane Inner - North,Brisbane Inner City,1
Schofields,2763,NSW,Nirimba Fields,Schofields (West) - Colebee,Blacktown - North,Sydney - Blacktown,1
East Toowoomba,4350,QLD,Cranley,Wilsonton,Toowoomba,Toowoomba,2
Echunga,5153,SA,Strathalbyn (SA),Strathalbyn,Fleurieu - Kangaroo Island,South Australia - South East,2
Marsden Park,2765,NSW,Berkshire Park,Yarramundi - Londonderry,Richmond - Windsor,Sydney - Outer West and Blue Mountains,1
Runaway Bay,4216,QLD,South Stradbroke,Hope Island,Ormeau - Oxenford,Gold Coast,1
Inverloch,3996,VIC,Inverloch,Wonthaggi - Inverloch,Gippsland - South West,Latrobe - Gippsland,4
Forresters Beach,2260,NSW,Forresters Beach,Wamberal - Forresters Beach,Wyong,Central Coast,1
Moonee Beach,2450,NSW,Bonville,Sawtell - Boambee,Coffs Harbour,Coffs Harbour - Grafton,3
Dardanup West,6236,WA,Paradise (WA),Dardanup,Bunbury,Bunbury,2
Alberton,5014,SA,Alberton (SA),Port Adelaide,Port Adelaide - West,Adelaide - West,1
West Lakes Shore,5020,SA,West Lakes Shore,West Lakes,Charles Sturt,Adelaide - West,1
Sandhurst,3977,VIC,Sandhurst,Skye - Sandhurst,Frankston,Mornington Peninsula,1
St Marys,5042,SA,Pasadena,Panorama,Onkaparinga,Adelaide - South,1
Southbank,3006,VIC,Southbank,South Melbourne,Port Phillip,Melbourne - Inner,1
Seaford Meadows,5169,SA,Seaford Rise,Seaford Rise - Moana,Onkaparinga,Adelaide - South,1
Belmont South,2280,NSW,Valentine,Valentine - Eleebana,Lake Macquarie - East,Newcastle and Lake Macquarie,1
Melton West,3337,VIC,Melton (Vic.),Melton,Melton - Bacchus Marsh,Melbourne - West,1
Woodville,5011,SA,St Clair (SA),Woodville - Cheltenham,Charles Sturt,Adelaide - West,1
Main Beach,4217,QLD,Surfers Paradise,Surfers Paradise - South,Surfers Paradise,Gold Coast,1
Aspendale,3195,VIC,Parkdale,Mordialloc - Parkdale,Kingston,Melbourne - Inner South,1
Wahroonga,2076,NSW,Wahroonga,Wahroonga (East) - Warrawee,Ku-ring-gai,Sydney - North Sydney and Hornsby,1
Mount Low,4818,QLD,Deeragun,Deeragun - Jensen,Townsville,Townsville,2
Noosa Heads,4567,QLD,Sunshine Beach,Sunshine Beach,Noosa,Sunshine Coast,1
Kenmore,4069,QLD,Pullenvale,Pinjarra Hills - Pullenvale,Ipswich Inner,Ipswich,1
Seven Hills,2147,NSW,Seven Hills (NSW),Toongabbie - West,Blacktown,Sydney - Blacktown,1
North Fremantle,6159,WA,North Fremantle,Fremantle,Fremantle,Perth - South West,1
Ivanhoe,3079,VIC,Ivanhoe East,Ivanhoe East - Eaglemont,Banyule,Melbourne - North East,1
Cardiff,2285,NSW,Wallsend,Wallsend - Elermore Vale,Newcastle,Newcastle and Lake Macquarie,1
Mount Duneed,3217,VIC,Connewarre,Barwon Heads - Armstrong Creek,Geelong,Geelong,1
Preston,3072,VIC,Reservoir (Vic.),Reservoir - South West,Darebin - North,Melbourne - North East,1
Port Fairy,3284,VIC,Rosebrook (Vic.),Moyne - West,Warrnambool - Otway Ranges,Warrnambool and South West,5
Nollamara,6061,WA,Mirrabooka (WA),Dianella - North,Wanneroo,Perth - North West,1
Noraville,2263,NSW,Woongarrah,Warnervale - Wadalba,Wyong,Central Coast,1
Stirling North,5710,SA,Stirling North,Port Augusta,Outback - North and East,South Australia - Outback,4
Hurstville,2220,NSW,Hurstville,Kogarah Bay - Carlton - Allawah,Kogarah - Rockdale,Sydney - Inner South West,1
Pascoe Vale,3044,VIC,Pascoe Vale,Pascoe Vale,Moreland - North,Melbourne - North West,1
Holt,2615,ACT,Strathnairn,Strathnairn,Cotter - Namadgi,Australian Capital Territory,1
Forest Lodge,2037,NSW,Forest Lodge,Glebe - Forest Lodge,Sydney Inner City,Sydney - City and Inner South,1
Mount Annan,2567,NSW,Mount Annan,Mount Annan,Campbelltown (NSW),Sydney - Outer South West,1
Caringbah South,2229,NSW,Woolooware,Woolooware - Burraneer,Cronulla - Miranda - Caringbah,Sydney - Sutherland,1
Hope Island,4212,QLD,Hope Island,Hope Island,Ormeau - Oxenford,Gold Coast,1
Heathridge,6027,WA,Ocean Reef,Ocean Reef,Wanneroo,Perth - North West,1
Golden Grove,5125,SA,Wynn Vale,Modbury Heights,Tea Tree Gully,Adelaide - North,1
Kent Town,5067,SA,Norwood (SA),Norwood (SA),Norwood - Payneham - St Peters,Adelaide - Central and Hills,1
Frankston,3199,VIC,Seaford (Vic.),Seaford (Vic.),Mornington Peninsula,Mornington Peninsula,1
Croydon,3136,VIC,Croydon South,Croydon South,Maroondah,Melbourne - Outer East,1
Cairns North,4870,QLD,Whitfield (Qld),Whitfield - Edge Hill,Cairns - South,Cairns,2
Blaxland,2774,NSW,Mount Riverview,Blaxland - Warrimoo - Lapstone,Blue Mountains,Sydney - Outer West and Blue Mountains,1
Ringwood,3134,VIC,Ringwood North,Ringwood North,Whitehorse - East,Melbourne - Outer East,1
Willetton,6155,WA,Canning Vale,Canning Vale - East,Melville,Perth - South West,1
Castle Hill,2154,NSW,Castle Hill (NSW),Castle Hill - West,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,1
Hampstead Gardens,5086,SA,Gilles Plains,Valley View - Gilles Plains,Port Adelaide - East,Adelaide - North,1
Harkness,3337,VIC,Melton (Vic.),Melton,Melton - Bacchus Marsh,Melbourne - West,1
Shailer Park,4128,QLD,Shailer Park,Daisy Hill,Springwood - Kingston,Logan - Beaudesert,1
Palm Beach,2108,NSW,Morning Bay,Bayview - Elanora Heights,Pittwater,Sydney - Northern Beaches,1
Butler,6036,WA,Jindalee (WA),Mindarie - Quinns Rocks - Jindalee,Wanneroo,Perth - North West,1
Tarneit,3029,VIC,Truganina,Truganina - South West,Wyndham,Melbourne - West,1
Bayswater,3153,VIC,Bayswater North,Bayswater North,Maroondah,Melbourne - Outer East,1
Stanley,3747,VIC,Beechworth,Beechworth,Wodonga - Alpine,Hume,5
Springfield,2250,NSW,Wrights Creek (NSW),Bilpin - Colo - St Albans,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,1
Glenbrook,2773,NSW,Glenbrook,Blaxland - Warrimoo - Lapstone,Blue Mountains,Sydney - Outer West and Blue Mountains,1
Turvey Park,2650,NSW,Gregadoo,Wagga Wagga Surrounds,Wagga Wagga,Riverina,3
Gymea Bay,2227,NSW,Kirrawee,Sutherland - Kirrawee,Sutherland - Menai - Heathcote,Sydney - Sutherland,1
Melton,3337,VIC,Melton (Vic.),Melton,Melton - Bacchus Marsh,Melbourne - West,1
Logan Reserve,4133,QLD,Waterford West,Waterford West,Loganlea - Carbrook,Logan - Beaudesert,1
Nyah West,3595,VIC,Nyah West,Swan Hill Surrounds,Murray River - Swan Hill,North West,5
Banksia Beach,4507,QLD,Woorim,Bribie Island,Bribie - Beachmere,Moreton Bay - North,2
Berowra Heights,2082,NSW,Berowra Heights,Berowra - Brooklyn - Cowan,Hornsby,Sydney - North Sydney and Hornsby,1
South Maclean,4280,QLD,Jimboomba,Jimboomba - Glenlogan,Jimboomba,Logan - Beaudesert,1
Glen Alpine,2560,NSW,Appin (NSW),Douglas Park - Appin,Wollondilly,Sydney - Outer South West,1
Revesby,2212,NSW,Revesby Heights,Panania (South) - Picnic Point,Bankstown,Sydney - Inner South West,1
St Helens Park,2560,NSW,Appin (NSW),Douglas Park - Appin,Wollondilly,Sydney - Outer South West,1
Rossmoyne,6148,WA,Rossmoyne,Riverton - Shelley - Rossmoyne,Canning,Perth - South East,1
Peake,5301,SA,Yumali,The Coorong,Murray and Mallee,South Australia - South East,5
Taringa,4068,QLD,Toowong,Toowong,Brisbane Inner - West,Brisbane Inner City,1
Muchea,6501,WA,Muchea,Chittering,Wheat Belt - North,Western Australia - Wheat Belt,5
Picnic Point,2213,NSW,Panania,Panania (South) - Picnic Point,Bankstown,Sydney - Inner South West,1
Caloundra West,4551,QLD,Meridan Plains,Meridan Plains - Little Mountain (North),Sunshine Coast Hinterland,Sunshine Coast,1
Mount Pleasant,3350,VIC,Redan,Sebastopol - Redan,Ballarat,Ballarat,2
Hampton Park,3976,VIC,Hampton Park,Hampton Park - West,Casey - South,Melbourne - South East,1
Kellyville,2155,NSW,Rouse Hill,Schofields - East,Blacktown - North,Sydney - Blacktown,1
South Melbourne,3205,VIC,South Melbourne,South Melbourne,Port Phillip,Melbourne - Inner,1
Hillside,3037,VIC,Hillside (Melton - Vic.),Hillside,Melton - Bacchus Marsh,Melbourne - West,1
Saint Morris,5068,SA,St Morris,Payneham - Felixstow,Norwood - Payneham - St Peters,Adelaide - Central and Hills,1
Paddington,2021,NSW,Paddington (NSW),Double Bay - Darling Point,Eastern Suburbs - South,Sydney - Eastern Suburbs,1
Garden Suburb,2289,NSW,Kotara,Lambton - New Lambton,Newcastle,Newcastle and Lake Macquarie,1
Hamersley,6022,WA,Hamersley,Balcatta - Hamersley,Stirling,Perth - North West,1
Melonba,2765,NSW,Berkshire Park,Yarramundi - Londonderry,Richmond - Windsor,Sydney - Outer West and Blue Mountains,1
Kirrawee,2232,NSW,Woronora,Woronora Heights,Sutherland - Menai - Heathcote,Sydney - Sutherland,1
Mill Park,3082,VIC,Mill Park,Mill Park - South,Whittlesea - Wallan,Melbourne - North East,1
Brighton East,3187,VIC,Brighton East,Bentleigh - McKinnon,Glen Eira,Melbourne - Inner South,1
Upper Mount Gravatt,4122,QLD,Wishart (Qld),Wishart,Nathan,Brisbane - South,1
Ashfield,2131,NSW,Ashfield (NSW),Ashfield - South,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
Mile End,5031,SA,Torrensville,Richmond (SA),West Torrens,Adelaide - West,1
Mount Gambier,5290,SA,Mount Gambier,Mount Gambier - West,Limestone Coast,South Australia - South East,3
Bawley Point,2539,NSW,Manyana,Ulladulla Surrounds,Shoalhaven,Southern Highlands and Shoalhaven,5
Doreen,3754,VIC,Mernda,Mernda - South,Whittlesea - Wallan,Melbourne - North East,1
melville,6156,WA,Willagee,Willagee,Melville,Perth - South West,1
Edgeworth,2285,NSW,Wallsend,Wallsend - Elermore Vale,Newcastle,Newcastle and Lake Macquarie,1
Wyoming,2250,NSW,Wrights Creek (NSW),Bilpin - Colo - St Albans,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,1
Drummoyne,2047,NSW,Drummoyne,Drummoyne - Rodd Point,Canada Bay,Sydney - Inner West,1
Grahams Creek,4650,QLD,Tinana,Tinana,Maryborough,Wide Bay,3
Leppington,2179,NSW,Leppington,Leppington - Catherine Field,Bringelly - Green Valley,Sydney - South West,1
Ballan,3342,VIC,Steiglitz (Vic.),Golden Plains - South,Barwon - West,Geelong,5
Kingston,2604,ACT,Kingston (ACT),Kingston (ACT),South Canberra,Australian Capital Territory,1
Panania,2213,NSW,Panania,Panania (South) - Picnic Point,Bankstown,Sydney - Inner South West,1
Maroubra,2035,NSW,Maroubra,Maroubra - West,Eastern Suburbs - South,Sydney - Eastern Suburbs,1
Pakenham,3810,VIC,Pakenham,Pakenham - South West,Cardinia,Melbourne - South East,1
Ringwood East,3135,VIC,Ringwood East,Croydon South,Maroondah,Melbourne - Outer East,1
Kensington,2033,NSW,Kingsford (NSW),Kingsford,Eastern Suburbs - South,Sydney - Eastern Suburbs,1
Southside,4570,QLD,Kanigan,Maryborough Surrounds - South,Maryborough,Wide Bay,3
Hallam,3803,VIC,Hallam,Endeavour Hills - South,Casey - North,Melbourne - South East,1
Hemmant,4174,QLD,Hemmant,Wynnum West - Hemmant,Wynnum - Manly,Brisbane - East,1
Collingwood,3066,VIC,Clifton Hill,Clifton Hill - Alphington,Yarra,Melbourne - Inner,1
Newtown,3220,VIC,Newtown (Greater Geelong - Vic.),Newtown (Vic.),Geelong,Geelong,1
Springfield,4300,QLD,Bellbird Park,Bellbird Park,Springfield - Redbank,Ipswich,1
Orange,2800,NSW,Kangaroobie,Orange Surrounds,Orange,Central West,3
Fawkner,3060,VIC,Fawkner,Campbellfield - Coolaroo,Tullamarine - Broadmeadows,Melbourne - North West,1
Randwick,2031,NSW,Clovelly,Coogee - Clovelly,Eastern Suburbs - South,Sydney - Eastern Suburbs,1
Thorneside,4158,QLD,Thorneside,Thorneside,Capalaba,Brisbane - East,1
Terrey Hills,2084,NSW,Terrey Hills,Terrey Hills - Duffys Forest,Warringah,Sydney - Northern Beaches,1
Boondall,4034,QLD,Zillmere,Zillmere,Sandgate,Brisbane - North,1
Carlingford,2118,NSW,Eastwood (NSW),Eastwood,Ryde - Hunters Hill,Sydney - Ryde,1
Yaroomba,4573,QLD,Peregian Beach,Noosa Hinterland,Noosa,Sunshine Coast,1
Oxenford,4210,QLD,Maudsland,Upper Coomera (South) - Wongawallan,Ormeau - Oxenford,Gold Coast,1
Mona Vale,2103,NSW,Warriewood,North Narrabeen - Warriewood (South),Pittwater,Sydney - Northern Beaches,1
Berkeley Vale,2261,NSW,Tuggerah,Tuggerah - Kangy Angy,Wyong,Central Coast,1
Bardon,4065,QLD,Red Hill (Brisbane - Qld),Red Hill (Qld),Brisbane Inner - West,Brisbane Inner City,1
Grantville,3984,VIC,Lang Lang,Koo Wee Rup,Cardinia,Melbourne - South East,5
Noosaville,4566,QLD,Noosaville,Noosaville,Noosa,Sunshine Coast,1
Cameron Park,2285,NSW,Wallsend,Wallsend - Elermore Vale,Newcastle,Newcastle and Lake Macquarie,1
Wyndham Vale,3024,VIC,Wyndham Vale,Wyndham Vale - South,Wyndham,Melbourne - West,1
Tomerong,2540,NSW,Jervis Bay,Jervis Bay,Jervis Bay,Other Territories,4
Rowville,3178,VIC,Rowville,Rowville - South,Knox,Melbourne - Outer East,1
Currans Hill,2567,NSW,Mount Annan,Mount Annan,Campbelltown (NSW),Sydney - Outer South West,1
Lidcombe,2141,NSW,Lidcombe,Wentworth Point - Sydney Olympic Park,Auburn,Sydney - Parramatta,1
Craigieburn,3064,VIC,Roxburgh Park,Roxburgh Park - North,Tullamarine - Broadmeadows,Melbourne - North West,1
Yagoona,2199,NSW,Yagoona,Bankstown - North,Bankstown,Sydney - Inner South West,1
Bella Vista,2153,NSW,Winston Hills,Winston Hills,Parramatta,Sydney - Parramatta,1
Potts Point,2011,NSW,Potts Point,Sydney (North) - Millers Point,Sydney Inner City,Sydney - City and Inner South,1
Forestville,2087,NSW,Forestville (NSW),Forestville - Killarney Heights,Warringah,Sydney - Northern Beaches,1
Champion Lakes,6111,WA,Canning Mills,Lesmurdie - Bickley - Carmel,Wheat Belt - North,Western Australia - Wheat Belt,1
Christie Downs,5164,SA,Christie Downs,Christie Downs,Onkaparinga,Adelaide - South,1
Thomastown,3074,VIC,Thomastown,Lalor - West,Tullamarine - Broadmeadows,Melbourne - North West,1
Lurnea,2170,NSW,Prestons,Prestons,Liverpool,Sydney - South West,1
North Balgowlah,2093,NSW,North Balgowlah,Manly Vale - Allambie Heights,Warringah,Sydney - Northern Beaches,1
Waterloo,2017,NSW,Zetland,Zetland,Sydney Inner City,Sydney - City and Inner South,1
Officer,3809,VIC,Officer,Pakenham - North West,Cardinia,Melbourne - South East,1
Dalyellup,6230,WA,Usher,Withers - Usher,Bunbury,Bunbury,2
Freshwater,2096,NSW,Queenscliff (NSW),Freshwater - Brookvale,Warringah,Sydney - Northern Beaches,1
Bulimba,4171,QLD,Morningside,Morningside - Seven Hills,Brisbane Inner - East,Brisbane Inner City,1
Padbury,6025,WA,Padbury,Padbury,Joondalup,Perth - North West,1
Wickham,2293,NSW,Wickham (NSW),Wickham - Carrington - Tighes Hill,Newcastle,Newcastle and Lake Macquarie,1
Plenty,3090,VIC,Plenty (Vic.),Plenty - Yarrambat,Nillumbik - Kinglake,Melbourne - North East,1
Baulkham Hills,2153,NSW,Winston Hills,Winston Hills,Parramatta,Sydney - Parramatta,1
Glenwood,2768,NSW,Stanhope Gardens,Stanhope Gardens - Parklea,Blacktown - North,Sydney - Blacktown,1
Alstonville,2477,NSW,Pearces Creek,Lismore Surrounds,Richmond Valley - Hinterland,Richmond - Tweed,3
Armidale,2350,NSW,Yarrowyck,Armidale Surrounds - South,Armidale,New England and North West,3
Mount Druitt,2770,NSW,Minchinbury,Rooty Hill - Minchinbury,Mount Druitt,Sydney - Blacktown,1
Cremorne,2090,NSW,Kurraba Point,Neutral Bay - Kirribilli,North Sydney - Mosman,Sydney - North Sydney and Hornsby,1
Clifton Springs,3222,VIC,Wallington,Ocean Grove,Surf Coast - Bellarine Peninsula,Geelong,2
Sarina,4737,QLD,Sunnyside (Qld),Walkerston - Eton,Mackay,Mackay,5
Nicholls,2913,ACT,Taylor,Taylor,Gungahlin,Australian Capital Territory,1
Coomera,4209,QLD,Willow Vale (Qld),Willow Vale - Pimpama (West),Ormeau - Oxenford,Gold Coast,1
Rozelle,2039,NSW,Rozelle,Lilyfield - Rozelle,Leichhardt,Sydney - Inner West,1
Waverley,2024,NSW,Waverley (NSW),Bondi Junction - Waverly,Eastern Suburbs - North,Sydney - Eastern Suburbs,1
Tonsley,5042,SA,Pasadena,Panorama,Onkaparinga,Adelaide - South,1
Everard Park,5035,SA,Mile End South,Richmond (SA),West Torrens,Adelaide - West,1
Zetland,2017,NSW,Zetland,Zetland,Sydney Inner City,Sydney - City and Inner South,1
Douglas Park,2569,NSW,Wilton (NSW),Douglas Park - Appin,Wollondilly,Sydney - Outer South West,2
Dee Why,2099,NSW,Oxford Falls,Frenchs Forest - Oxford Falls,Warringah,Sydney - Northern Beaches,1
North Curl Curl,2099,NSW,Oxford Falls,Frenchs Forest - Oxford Falls,Warringah,Sydney - Northern Beaches,1
Brunswick East,3057,VIC,Brunswick East,Brunswick - South,Brunswick - Coburg,Melbourne - Inner,1
Aitkenvale,4814,QLD,Mundingburra,Mundingburra,Townsville,Townsville,2
Cannington,6107,WA,Wattle Grove (WA),Forrestfield - Wattle Grove,Kalamunda,Perth - South East,1
Bulahdelah,2423,NSW,Wang Wauk,Taree Surrounds,Taree - Gloucester,Mid North Coast,5
Beaumont Hills,2155,NSW,Rouse Hill,Schofields - East,Blacktown - North,Sydney - Blacktown,1
Ashfield,6054,WA,Kiara,Lockridge - Kiara,Swan,Perth - North East,1
Cranbourne West,3977,VIC,Sandhurst,Skye - Sandhurst,Frankston,Mornington Peninsula,1
Casey,2913,ACT,Taylor,Taylor,Gungahlin,Australian Capital Territory,1
Alexandria,2015,NSW,Beaconsfield (NSW),Rosebery - Beaconsfield,Sydney Inner City,Sydney - City and Inner South,1
Arana Hills,4054,QLD,Ferny Hills,The Hills District,Hills District,Moreton Bay - South,1
Matraville,2036,NSW,Matraville,Matraville - Chifley,Eastern Suburbs - South,Sydney - Eastern Suburbs,1
Windsor,3181,VIC,Prahran,Prahran - Windsor,Stonnington - West,Melbourne - Inner,1
East Perth,6004,WA,Mount Lawley,East Perth,Perth City,Perth - Inner,1
