nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,MMM
Telopea,2117,NSW,Oatlands (NSW),North Parramatta,Parramatta,Sydney - Parramatta,1
Aeroglen,4870,QLD,Whitfield (Qld),Whitfield - Edge Hill,Cairns - South,Cairns,2
Cheltenham,3192,VIC,Cheltenham (Vic.),Highett (East) - Cheltenham,Kingston,Melbourne - Inner South,1
Devon Park,5008,SA,Croydon Park (SA),The Parks,Port Adelaide - West,Adelaide - West,1
Seaford Heights,5169,SA,Seaford Rise,Seaford Rise - Moana,Onkaparinga,Adelaide - South,1
Sandy Bay,7005,TAS,Sandy Bay,Sandy Bay,Hobart Inner,Hobart,2
Jimboomba,4280,QLD,Jimboomba,Jimboomba - Glenlogan,Jimboomba,Logan - Beaudesert,2
Aubin Grove,6164,WA,Leeming,Jandakot,Cockburn,Perth - South West,1
Wellington Point,4160,QLD,Ormiston,Ormiston,Cleveland - Stradbroke,Brisbane - East,1
Mount Louisa,4814,QLD,Mundingburra,Mundingburra,Townsville,Townsville,2
Glen Waverley,3150,VIC,Wheelers Hill,Wheelers Hill,Monash,Melbourne - South East,1
Kingsford,2032,NSW,Kingsford (NSW),Kingsford,Eastern Suburbs - South,Sydney - Eastern Suburbs,1
Pyrmont,2007,NSW,Ultimo,Ultimo,Sydney Inner City,Sydney - City and Inner South,1
Centennial Park,2021,NSW,Paddington (NSW),Double Bay - Darling Point,Eastern Suburbs - South,Sydney - Eastern Suburbs,1
Saint Marys,5042,SA,Pasadena,Panorama,Onkaparinga,Adelaide - South,1
Highland Valley,5255,SA,Wellington (SA),Murray Bridge Surrounds,Murray and Mallee,South Australia - South East,3
Cringila,2502,NSW,Primbee,Windang - Primbee,Dapto - Port Kembla,Illawarra,1
Willagee,6156,WA,Willagee,Willagee,Melville,Perth - South West,1
Wollstonecraft,2065,NSW,Wollstonecraft,Crows Nest - Waverton,North Sydney - Mosman,Sydney - North Sydney and Hornsby,1
Moura,4718,QLD,Moura,Banana,Gladstone - Biloela,Fitzroy,5
Vaucluse,2030,NSW,Watsons Bay,Rose Bay - Vaucluse - Watsons Bay,Eastern Suburbs - North,Sydney - Eastern Suburbs,1
Pyrmont,2009,NSW,Pyrmont,Pyrmont,Sydney Inner City,Sydney - City and Inner South,1
Elizabeth Grove,5112,SA,Hillbank,Elizabeth East,Playford,Adelaide - North,1
Wollongong,2500,NSW,Gwynneville,Wollongong - West,Wollongong,Illawarra,1
South Murwillumbah,2484,NSW,Urliup,Tweed Heads,Gold Coast Hinterland,Gold Coast,1
Bilambil Heights,2486,NSW,Tweed Heads South,Tweed Heads South,Tweed Valley,Richmond - Tweed,1
Booral,4655,QLD,Walkers Point,Maryborough Surrounds - South,Maryborough,Wide Bay,2
Dromana,3936,VIC,Dromana,Dromana,Mornington Peninsula,Mornington Peninsula,1
Elermore Vale,2287,NSW,Wallsend,Wallsend - Elermore Vale,Newcastle,Newcastle and Lake Macquarie,1
Glenore Grove,4342,QLD,Glenore Grove,Lockyer Valley - East,Toowoomba,Toowoomba,5
Highett,3190,VIC,Highett,Highett (East) - Cheltenham,Kingston,Melbourne - Inner South,1
Burnside,4560,QLD,Nambour,Nambour,Sunshine Coast Hinterland,Sunshine Coast,1
Girrawheen,6064,WA,Marangaroo,Marangaroo,Wanneroo,Perth - North West,1
Caboolture,4510,QLD,Upper Caboolture,Upper Caboolture,Narangba - Burpengary,Moreton Bay - North,1
Maitland,2320,NSW,Wallalong,Seaham - Woodville,Port Stephens,Hunter Valley exc Newcastle,1
Darling Point,2027,NSW,Darling Point,Double Bay - Darling Point,Eastern Suburbs - North,Sydney - Eastern Suburbs,1
Wantirna,3152,VIC,Wantirna South,Boronia,Knox,Melbourne - Outer East,1
Marino,5049,SA,Marino,Marino - Seaview Downs,Marion,Adelaide - South,1
Saratoga,2251,NSW,Davistown,Saratoga - Davistown,Gosford,Central Coast,1
Lake Coogee,6166,WA,Wattleup,Beeliar - Wattleup,Cockburn,Perth - South West,1
Cranley,4350,QLD,Cranley,Wilsonton,Toowoomba,Toowoomba,2
Upper Coomera,4209,QLD,Willow Vale (Qld),Willow Vale - Pimpama (West),Ormeau - Oxenford,Gold Coast,1
Bayswater North,3153,VIC,Bayswater North,Bayswater North,Maroondah,Melbourne - Outer East,1
Newtown,4305,QLD,Raceview,Ripley,Ipswich Inner,Ipswich,1
Bonny Hills,2445,NSW,Lake Innes,Wauchope,Port Macquarie,Mid North Coast,4
Moorooka,4105,QLD,Tarragindi,Tarragindi,Rocklea - Acacia Ridge,Brisbane - South,1
Balgownie,2519,NSW,Mount Pleasant (NSW),Balgownie - Fairy Meadow,Wollongong,Illawarra,1
Macedon,3440,VIC,Macedon,Macedon,Macedon Ranges,Melbourne - North West,4
Bulleen,3105,VIC,Bulleen,Bulleen,Banyule,Melbourne - North East,1
Daisy Hill,4127,QLD,Springwood (Qld),Springwood,Springwood - Kingston,Logan - Beaudesert,1
Trentham,3458,VIC,Trentham East,Woodend,Heathcote - Castlemaine - Kyneton,Bendigo,5
Chandler,4155,QLD,Chandler (Qld),Belmont - Gumdale,Capalaba,Brisbane - East,1
Jindabyne,2627,NSW,Pilot Wilderness,Tumbarumba,Tumut - Tumbarumba,Riverina,5
Red Head,2430,NSW,Lansdowne (Mid-Coast - NSW),Taree Surrounds,Taree - Gloucester,Mid North Coast,3
Higgins,2615,ACT,Strathnairn,Strathnairn,Cotter - Namadgi,Australian Capital Territory,1
Narre Warren South,3805,VIC,Narre Warren South,Narre Warren South - West,Casey - South,Melbourne - South East,1
Bellbowrie,4070,QLD,Pullenvale,Pinjarra Hills - Pullenvale,Ipswich Inner,Ipswich,1
Grange,4051,QLD,Enoggera,Ashgrove,Brisbane Inner - West,Brisbane Inner City,1
Thrumster,2444,NSW,Port Macquarie,Port Macquarie - South,Port Macquarie,Mid North Coast,3
Yarralumla,2600,ACT,Barton,Barton,Woden,Australian Capital Territory,1
Bowden,5007,SA,Bowden,Hindmarsh - Brompton,Charles Sturt,Adelaide - West,1
Monterey,2217,NSW,Kogarah,Bexley - South,Kogarah - Rockdale,Sydney - Inner South West,1
Surrey Hills,3127,VIC,Mont Albert,Surrey Hills (East) - Mont Albert,Whitehorse - West,Melbourne - Inner East,1
Deagon,4017,QLD,Sandgate (Qld),Sandgate - Shorncliffe,Sandgate,Brisbane - North,1
Nedlands,6009,WA,Nedlands,Nedlands - Dalkeith - Crawley,Cottesloe - Claremont,Perth - Inner,1
Chittaway Bay,2261,NSW,Tuggerah,Tuggerah - Kangy Angy,Wyong,Central Coast,1
Old Toongabbie,2146,NSW,Toongabbie (NSW),Pendle Hill - Girraween,Parramatta,Sydney - Parramatta,1
Keilor East,3033,VIC,Keilor East,Keilor East,Brimbank,Melbourne - West,1
Saint Marys,2760,NSW,St Marys (NSW),St Marys - North St Marys,St Marys,Sydney - Outer West and Blue Mountains,1
Narara,2250,NSW,Wrights Creek (NSW),Bilpin - Colo - St Albans,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,1
Hampton,3188,VIC,Sandringham (Vic.),Sandringham - Black Rock,Bayside,Melbourne - Inner South,1
Port Kembla,2505,NSW,Port Kembla,Port Kembla - Warrawong,Dapto - Port Kembla,Illawarra,1
Mangerton,2500,NSW,Gwynneville,Wollongong - West,Wollongong,Illawarra,1
Delahey,3037,VIC,Hillside (Melton - Vic.),Hillside,Melton - Bacchus Marsh,Melbourne - West,1
Leura,2780,NSW,Katoomba,Katoomba - Leura,Blue Mountains,Sydney - Outer West and Blue Mountains,1
Lakelands,6180,WA,Lakelands (WA),Mandurah - North,Mandurah,Mandurah,1
Lesmurdie,6076,WA,Lesmurdie,Lesmurdie - Bickley - Carmel,Kalamunda,Perth - South East,1
Weetangera,2614,ACT,Weetangera,Weetangera,Belconnen,Australian Capital Territory,1
