nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,Median total income($)
Aarons Pass,2850,NSW,Turill,Scone Surrounds,Upper Hunter,Hunter Valley exc Newcastle,46204
Abbotsbury,2176,NSW,Wakeley,St Johns Park - Wakeley,Fairfield,Sydney - South West,51071
Abbotsford,2046,NSW,Chiswick,Five Dock - Abbotsford,Strathfield - Burwood - Ashfield,Sydney - Inner West,67196
Abbotsford,3067,VIC,Clifton Hill,Clifton Hill - Alphington,Yarra,Melbourne - Inner,67196
Abercrombie,2795,NSW,Ophir,Orange Surrounds,Orange,Central West,49855
Aberdare,2325,NSW,Putty,Singleton Surrounds,Lower Hunter,Hunter Valley exc Newcastle,52543
Aberdeen,2336,NSW,Upper Dartbrook,Scone Surrounds,Upper Hunter,Hunter Valley exc Newcastle,46204
Aberfoyle Park,5159,SA,Happy Valley (SA),Happy Valley Reservoir,Onkaparinga,Adelaide - South,53126
Aberglasslyn,2320,NSW,Wallalong,Seaham - Woodville,Port Stephens,Hunter Valley exc Newcastle,53583
Abergowrie,4850,QLD,Forrest Beach (Qld),Ingham Surrounds,Charters Towers - Ayr - Ingham,Townsville,47616
Acton Park,7170,TAS,Seven Mile Beach,Cambridge,Hobart - North East,Hobart,58616
Adamstown,2289,NSW,Kotara,Lambton - New Lambton,Newcastle,Newcastle and Lake Macquarie,56991
Adamstown Heights,2289,NSW,Kotara,Lambton - New Lambton,Newcastle,Newcastle and Lake Macquarie,58774
Adelaide,5000,SA,Adelaide,Adelaide,Adelaide City,Adelaide - Central and Hills,51728
Adelong,2729,NSW,Tumblong,Gundagai,Wagga Wagga,Riverina,44575
Advancetown,4211,QLD,Pacific Pines,Pacific Pines - Gaven,Robina,Gold Coast,50440
Aeroglen,4870,QLD,Whitfield (Qld),Whitfield - Edge Hill,Cairns - South,Cairns,53353
Agnes Banks,2753,NSW,Agnes Banks,Yarramundi - Londonderry,Richmond - Windsor,Sydney - Outer West and Blue Mountains,53387
Agnes Water,4677,QLD,Agnes Water,Agnes Water - Miriam Vale,Gladstone - Biloela,Fitzroy,37106
Ainslie,2602,ACT,Watson,Watson,North Canberra,Australian Capital Territory,72070
Aintree,3336,VIC,Fraser Rise,Fraser Rise - Plumpton,Melton - Bacchus Marsh,Melbourne - West,41055
Airds,2560,NSW,Appin (NSW),Douglas Park - Appin,Wollondilly,Sydney - Outer South West,61453
Airlie Beach,4802,QLD,Cannonvale,Airlie - Whitsundays,Whitsunday,Mackay,46282
Airport West,3042,VIC,Keilor East,Keilor East,Keilor,Melbourne - North West,60083
Aitkenvale,4814,QLD,Mundingburra,Mundingburra,Townsville,Townsville,49732
Alawa,810,NT,Wanguri,Wanguri,Darwin Suburbs,Darwin,53525
Alawoona,5311,SA,Waikerie,Waikerie,Murray and Mallee,South Australia - South East,42601
Albany Creek,4035,QLD,Albany Creek,Albany Creek,Hills District,Moreton Bay - South,58846
Albert Park,3206,VIC,Melbourne,Albert Park,Port Phillip,Melbourne - Inner,68933
Alberton,4207,QLD,Edens Landing,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,50657
Alberton,5014,SA,Alberton (SA),Port Adelaide,Port Adelaide - West,Adelaide - West,50657
Albion,4010,QLD,Windsor (Qld),Windsor,Brisbane Inner - North,Brisbane Inner City,56559
Albion Park,2527,NSW,Yellow Rock (Shellharbour - NSW),Robertson - Fitzroy Falls,Southern Highlands,Southern Highlands and Shoalhaven,56559
Albion Park Rail,2527,NSW,Yellow Rock (Shellharbour - NSW),Robertson - Fitzroy Falls,Southern Highlands,Southern Highlands and Shoalhaven,50000
Alderley,4051,QLD,Enoggera,Ashgrove,Brisbane Inner - West,Brisbane Inner City,65243
Aldinga Beach,5173,SA,Aldinga Beach,Aldinga,Onkaparinga,Adelaide - South,47202
Alexander Heights,6064,WA,Marangaroo,Marangaroo,Wanneroo,Perth - North West,47327
Alexandra,3714,VIC,Alexandra (Vic.),Alexandra,Upper Goulburn Valley,Hume,40199
Alexandra Headland,4572,QLD,Alexandra Headland,Mooloolaba - Alexandra Headland,Maroochy,Sunshine Coast,45754
Alexandra Hills,4161,QLD,Birkdale,Capalaba,Cleveland - Stradbroke,Brisbane - East,54024
Alexandria,2015,NSW,Beaconsfield (NSW),Rosebery - Beaconsfield,Sydney Inner City,Sydney - City and Inner South,83036
Alfords Point,2234,NSW,Bangor (NSW),Menai - Lucas Heights - Woronora,Sutherland - Menai - Heathcote,Sydney - Sutherland,61584
Alfredton,3350,VIC,Redan,Sebastopol - Redan,Ballarat,Ballarat,55204
Algester,4115,QLD,Parkinson,Parkinson - Drewvale,Sunnybank,Brisbane - South,50097
Alkimos,6038,WA,Alkimos,Alkimos - Eglinton,Wanneroo,Perth - North West,60425
Allambie Heights,2100,NSW,Oxford Falls,Frenchs Forest - Oxford Falls,Warringah,Sydney - Northern Beaches,62593
Allawah,2218,NSW,Carlton (NSW),Bexley - South,Kogarah - Rockdale,Sydney - Inner South West,49958
Allenby Gardens,5009,SA,Kilkenny,Woodville - Cheltenham,Charles Sturt,Adelaide - West,50403
Allenstown,4700,QLD,Allenstown,The Range - Allenstown,Rockhampton,Fitzroy,59874
Alligator Creek,4816,QLD,Toonpan,Townsville - South,Townsville,Townsville,60372
Alloway,4670,QLD,Walkervale,Walkervale - Avenell Heights,Burnett,Wide Bay,45132
Aloomba,4871,QLD,West Wellesley Islands,Carpentaria,Outback - North,Queensland - Outback,67213
Alphington,3078,VIC,Fairfield (Vic.),Clifton Hill - Alphington,Yarra,Melbourne - Inner,65222
Alstonvale,2477,NSW,Pearces Creek,Lismore Surrounds,Richmond Valley - Hinterland,Richmond - Tweed,41076
Alstonville,2477,NSW,Pearces Creek,Lismore Surrounds,Richmond Valley - Hinterland,Richmond - Tweed,41076
Alton Downs,4702,QLD,Kokotungo,Banana,Rockhampton,Fitzroy,46249
Altona,3018,VIC,Altona (Vic.),Altona,Hobsons Bay,Melbourne - West,61906
Altona Meadows,3028,VIC,Laverton (Vic.),Laverton,Wyndham,Melbourne - West,55057
Altona North,3025,VIC,South Kingsville,Newport,Wyndham,Melbourne - West,58645
Ambarvale,2560,NSW,Appin (NSW),Douglas Park - Appin,Wollondilly,Sydney - Outer South West,61453
Andergrove,4740,QLD,West Mackay,West Mackay,Mackay,Mackay,59429
Andrews Farm,5114,SA,Greenwith,Golden Grove,Barossa,Barossa - Yorke - Mid North,58398
Angaston,5353,SA,Swan Reach (SA),Mannum,Murray and Mallee,South Australia - South East,47507
Angle Vale,5117,SA,Munno Para Downs,Munno Para West - Angle Vale,Playford,Adelaide - North,52321
Anglesea,3230,VIC,Anglesea,Lorne - Anglesea,Surf Coast - Bellarine Peninsula,Geelong,42606
Anna Bay,2316,NSW,Taylors Beach (NSW),Nelson Bay Peninsula,Port Stephens,Hunter Valley exc Newcastle,42671
Annandale,2038,NSW,Annandale (NSW),Annandale (NSW),Leichhardt,Sydney - Inner West,80563
Annerley,4103,QLD,Tarragindi,Tarragindi,Nathan,Brisbane - South,53887
Anstead,4070,QLD,Pullenvale,Pinjarra Hills - Pullenvale,Ipswich Inner,Ipswich,68099
Appin,2560,NSW,Appin (NSW),Douglas Park - Appin,Wollondilly,Sydney - Outer South West,61453
Applecross,6153,WA,Mount Pleasant (WA),Booragoon,Melville,Perth - South West,61104
Appletree Flat,2330,NSW,Womerah,Bilpin - Colo - St Albans,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,47184
Araluen,4570,QLD,Kanigan,Maryborough Surrounds - South,Maryborough,Wide Bay,36468
Aramara,4620,QLD,Woocoo,Maryborough Surrounds - South,Maryborough,Wide Bay,36468
Arana Hills,4054,QLD,Ferny Hills,The Hills District,Hills District,Moreton Bay - South,60179
Ararat,3377,VIC,Wattle Creek,Stawell,Grampians,North West,46330
Arcadia,2159,NSW,Fiddletown,Galston - Laughtondale,Dural - Wisemans Ferry,Sydney - Baulkham Hills and Hawkesbury,53808
Arcadia Vale,2283,NSW,West Wallsend,West Wallsend - Barnsley - Killingworth,Lake Macquarie - West,Newcastle and Lake Macquarie,54600
Archerfield,4108,QLD,Sunnybank,Sunnybank,Sunnybank,Brisbane - South,40110
Ardross,6153,WA,Mount Pleasant (WA),Booragoon,Melville,Perth - South West,61104
Armadale,3143,VIC,Prahran,Prahran - Windsor,Stonnington - West,Melbourne - Inner,56278
Armadale,6112,WA,Piara Waters,Piara Waters - Forrestdale,Gosnells,Perth - South East,56278
Armidale,2350,NSW,Yarrowyck,Armidale Surrounds - South,Armidale,New England and North West,42870
Armstrong Creek,3217,VIC,Connewarre,Barwon Heads - Armstrong Creek,Geelong,Geelong,51413
Arncliffe,2205,NSW,Wolli Creek,Wolli Creek,Kogarah - Rockdale,Sydney - Inner South West,50360
Arncliffe,2216,NSW,Rockdale,Rockdale - Banksia,Kogarah - Rockdale,Sydney - Inner South West,44651
Aroona,4551,QLD,Meridan Plains,Meridan Plains - Little Mountain (North),Sunshine Coast Hinterland,Sunshine Coast,46546
Artarmon,2064,NSW,Artarmon,Artarmon,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,68311
Arthurs Creek,3099,VIC,Nutfield,Panton Hill - St Andrews,Nillumbik - Kinglake,Melbourne - North East,50419
Arundel,4214,QLD,Parkwood (Qld),Parkwood,Southport,Gold Coast,45353
Ascot,3551,VIC,Toolleen,Rushworth,Campaspe,Shepparton,39808
Ascot,4007,QLD,Hendra,Hendra,Brisbane Inner - North,Brisbane Inner City,69992
Ascot,6104,WA,Belmont (WA),Belmont - Ascot - Redcliffe,Belmont - Victoria Park,Perth - South East,55884
Ascot Park,5043,SA,Morphettville,Morphettville,Marion,Adelaide - South,54077
Ascot Vale,3032,VIC,Maribyrnong,Maribyrnong,Maribyrnong,Melbourne - West,63855
Ashburton,3147,VIC,Ashwood,Ashwood - Chadstone,Monash,Melbourne - South East,64056
Ashbury,2193,NSW,Hurlstone Park,Ashfield - South,Strathfield - Burwood - Ashfield,Sydney - Inner West,56178
Ashby,6065,WA,Wanneroo,Wanneroo - Sinagra,Wanneroo,Perth - North West,57861
Ashfield,2131,NSW,Ashfield (NSW),Ashfield - South,Strathfield - Burwood - Ashfield,Sydney - Inner West,51126
Ashfield,6054,WA,Kiara,Lockridge - Kiara,Swan,Perth - North East,51126
Ashgrove,4060,QLD,Ashgrove,Ashgrove,Brisbane Inner - West,Brisbane Inner City,68184
Ashmore,4214,QLD,Parkwood (Qld),Parkwood,Southport,Gold Coast,46591
Ashwood,3147,VIC,Ashwood,Ashwood - Chadstone,Monash,Melbourne - South East,51534
Aspendale,3195,VIC,Parkdale,Mordialloc - Parkdale,Kingston,Melbourne - Inner South,55232
Aspendale Gardens,3195,VIC,Parkdale,Mordialloc - Parkdale,Kingston,Melbourne - Inner South,55232
Aspley,4034,QLD,Zillmere,Zillmere,Sandgate,Brisbane - North,53826
Asquith,2077,NSW,Waitara,Wahroonga (West) - Waitara,Hornsby,Sydney - North Sydney and Hornsby,61189
Athelstone,5076,SA,Athelstone,Athelstone,Tea Tree Gully,Adelaide - North,52883
Attadale,6156,WA,Willagee,Willagee,Melville,Perth - South West,57766
Attadale,6157,WA,Palmyra (WA),Bicton - Palmyra,Melville,Perth - South West,62207
Atwell,6164,WA,Leeming,Jandakot,Cockburn,Perth - South West,55919
Aubin Grove,6164,WA,Leeming,Jandakot,Cockburn,Perth - South West,55919
Auchenflower,4066,QLD,Toowong,Toowong,Brisbane Inner - West,Brisbane Inner City,59490
Augustine Heights,4300,QLD,Bellbird Park,Bellbird Park,Springfield - Redbank,Ipswich,54115
Austinmer,2515,NSW,Thirroul,Thirroul - Austinmer - Coalcliff,Wollongong,Illawarra,62560
Austral,2179,NSW,Leppington,Leppington - Catherine Field,Bringelly - Green Valley,Sydney - South West,52338
Australind,6233,WA,Wellesley (WA),Harvey,Bunbury,Bunbury,55018
Avalon Beach,2107,NSW,Bilgola Plateau,Newport - Bilgola,Pittwater,Sydney - Northern Beaches,59932
Aveley,6069,WA,Ellenbrook,Ellenbrook,Swan,Perth - North East,55909
Avenell Heights,4670,QLD,Walkervale,Walkervale - Avenell Heights,Burnett,Wide Bay,45132
Avoca,4670,QLD,Walkervale,Walkervale - Avenell Heights,Burnett,Wide Bay,52450
Avoca Beach,2251,NSW,Davistown,Saratoga - Davistown,Gosford,Central Coast,52450
Avondale,2530,NSW,Wongawilli,Horsley - Kembla Grange,Kiama - Shellharbour,Illawarra,50747
Avondale Heights,3034,VIC,Avondale Heights,Avondale Heights,Keilor,Melbourne - North West,57737
Aylmerton,2575,NSW,Joadja,Southern Highlands,Southern Highlands,Southern Highlands and Shoalhaven,46849
Ayr,4807,QLD,Alva,Burdekin,Charters Towers - Ayr - Ingham,Townsville,48630
Bacchus Marsh,3340,VIC,Parwan,Eynesbury - Exford,Melton - Bacchus Marsh,Melbourne - West,54031
Bagdad,7030,TAS,Bagdad,Southern Midlands,Central Highlands (Tas.),South East,47243
Bahrs Scrub,4207,QLD,Edens Landing,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,54316
Bairnsdale,3875,VIC,Raymond Island,Paynesville,Wellington,Latrobe - Gippsland,44665
Balaclava,3183,VIC,St Kilda East,Caulfield - North,Glen Eira,Melbourne - Inner South,61274
Balcatta,6021,WA,Stirling (WA),Stirling - Osborne Park,Stirling,Perth - North West,53763
Bald Hills,4036,QLD,Bald Hills (Qld),Bald Hills,Sandgate,Brisbane - North,59192
Baldivis,6171,WA,Baldivis,Baldivis - South,Rockingham,Perth - South West,57170
Balga,6061,WA,Mirrabooka (WA),Dianella - North,Wanneroo,Perth - North West,45105
Balgowlah,2093,NSW,North Balgowlah,Manly Vale - Allambie Heights,Warringah,Sydney - Northern Beaches,69657
Balgowlah Heights,2093,NSW,North Balgowlah,Manly Vale - Allambie Heights,Warringah,Sydney - Northern Beaches,62593
Balgownie,2519,NSW,Mount Pleasant (NSW),Balgownie - Fairy Meadow,Wollongong,Illawarra,51966
Balingup,6253,WA,Wilga West,Donnybrook - Balingup,Manjimup,Bunbury,41881
Ballajura,6066,WA,Ballajura,Ballajura,Swan,Perth - North East,50015
Ballan,3342,VIC,Steiglitz (Vic.),Golden Plains - South,Barwon - West,Geelong,47222
Ballarat Central,3350,VIC,Redan,Sebastopol - Redan,Ballarat,Ballarat,49070
Ballarat East,3350,VIC,Redan,Sebastopol - Redan,Ballarat,Ballarat,49070
Ballarat North,3350,VIC,Redan,Sebastopol - Redan,Ballarat,Ballarat,49070
Ballina,2478,NSW,Skennars Head,Lennox Head - Skennars Head,Richmond Valley - Coastal,Richmond - Tweed,42462
Balmain,2041,NSW,Balmain,Balmain,Leichhardt,Sydney - Inner West,84954
Balmoral,4171,QLD,Morningside,Morningside - Seven Hills,Brisbane Inner - East,Brisbane Inner City,71003
Balnarring,3926,VIC,Merricks Beach,Hastings - Somers,Mornington Peninsula,Mornington Peninsula,48896
Balwyn,3103,VIC,Balwyn,Balwyn,Boroondara,Melbourne - Inner East,51703
Balwyn North,3104,VIC,Mont Albert North,Box Hill North,Whitehorse - West,Melbourne - Inner East,53053
Bangalow,2479,NSW,Bangalow,Bangalow,Richmond Valley - Coastal,Richmond - Tweed,39791
Bangor,2234,NSW,Bangor (NSW),Menai - Lucas Heights - Woronora,Sutherland - Menai - Heathcote,Sydney - Sutherland,62045
Banks,2906,ACT,Gordon (ACT),Gordon (ACT),Tuggeranong,Australian Capital Territory,47325
Banksia,2216,NSW,Rockdale,Rockdale - Banksia,Kogarah - Rockdale,Sydney - Inner South West,44651
Banksia Beach,4507,QLD,Woorim,Bribie Island,Bribie - Beachmere,Moreton Bay - North,38816
Banksia Grove,6031,WA,Nowergup,Neerabup National Park,Wanneroo,Perth - North West,54444
Banksia Park,5091,SA,Tea Tree Gully,St Agnes - Ridgehaven,Tea Tree Gully,Adelaide - North,52921
Bankstown,2200,NSW,Punchbowl (Canterbury-Bankstown - NSW),Punchbowl,Canterbury,Sydney - Inner South West,47325
Bannockburn,3331,VIC,Steiglitz (Vic.),Golden Plains - South,Barwon - West,Geelong,57208
Bannockburn,4207,QLD,Edens Landing,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,57208
Banora Point,2486,NSW,Tweed Heads South,Tweed Heads South,Tweed Valley,Richmond - Tweed,44450
Banya,4551,QLD,Meridan Plains,Meridan Plains - Little Mountain (North),Sunshine Coast Hinterland,Sunshine Coast,44551
Banyo,4014,QLD,Nudgee,Nudgee - Banyo,Nundah,Brisbane - North,58779
Baranduda,3691,VIC,Wodonga,Wodonga,Wodonga - Alpine,Hume,49158
Barden Ridge,2234,NSW,Bangor (NSW),Menai - Lucas Heights - Woronora,Sutherland - Menai - Heathcote,Sydney - Sutherland,62045
Bardia,2565,NSW,Ingleburn,Ingleburn,Campbelltown (NSW),Sydney - Outer South West,53459
Bardon,4065,QLD,Red Hill (Brisbane - Qld),Red Hill (Qld),Brisbane Inner - West,Brisbane Inner City,74633
Barellan Point,4306,QLD,Ripley,Ripley,Burnett,Wide Bay,62317
Bargara,4670,QLD,Walkervale,Walkervale - Avenell Heights,Burnett,Wide Bay,47221
Bargo,2574,NSW,Bargo,Bargo,Wollondilly,Sydney - Outer South West,54354
Baringa,4551,QLD,Meridan Plains,Meridan Plains - Little Mountain (North),Sunshine Coast Hinterland,Sunshine Coast,44551
Barlows Hill,4703,QLD,Lammermoor,Yeppoon,Rockhampton,Fitzroy,56971
Barooga,3644,NSW,Yarroweyah,Numurkah,Moira,Shepparton,44256
Barrack Heights,2528,NSW,Mount Warrigal,Warilla,Kiama - Shellharbour,Illawarra,48187
Barragup,6209,WA,Stake Hill,Pinjarra,Mandurah,Mandurah,50983
Barton,2600,ACT,Barton,Barton,Woden,Australian Capital Territory,90811
Barwon Heads,3227,VIC,Wallington,Ocean Grove,Surf Coast - Bellarine Peninsula,Geelong,50726
Basin View,2540,NSW,Jervis Bay,Jervis Bay,Jervis Bay,Other Territories,44297
Baskerville,6056,WA,Helena Valley,Kalamunda - Maida Vale - Gooseberry Hill,Kalamunda,Perth - South East,55209
Baskerville,6083,WA,Morangup,Toodyay,Wheat Belt - North,Western Australia - Wheat Belt,50272
Bassendean,6054,WA,Kiara,Lockridge - Kiara,Swan,Perth - North East,55467
Bateau Bay,2261,NSW,Tuggerah,Tuggerah - Kangy Angy,Wyong,Central Coast,49047
Battery Hill,4551,QLD,Meridan Plains,Meridan Plains - Little Mountain (North),Sunshine Coast Hinterland,Sunshine Coast,46682
Baulkham Hills,2153,NSW,Winston Hills,Winston Hills,Parramatta,Sydney - Parramatta,59339
Bauple,4650,QLD,Tinana,Tinana,Maryborough,Wide Bay,45106
Bawley Point,2539,NSW,Manyana,Ulladulla Surrounds,Shoalhaven,Southern Highlands and Shoalhaven,35930
Baxter,3911,VIC,Baxter,Somerville,Mornington Peninsula,Mornington Peninsula,51734
Bayswater,3153,VIC,Bayswater North,Bayswater North,Maroondah,Melbourne - Outer East,55467
Bayswater,6053,WA,Bayswater (WA),Bayswater - Embleton - Bedford,Bayswater - Bassendean,Perth - North East,55467
Bayswater North,3153,VIC,Bayswater North,Bayswater North,Maroondah,Melbourne - Outer East,54585
Bayview,820,NT,Coonawarra (NT),Berrimah,Darwin Suburbs,Darwin,56934
Bayview,2104,NSW,Mona Vale,Mona Vale - Warriewood (North),Pittwater,Sydney - Northern Beaches,56934
Bayview Heights,4868,QLD,Woree,Woree,Cairns - South,Cairns,51217
Beachport,5280,SA,Thornlea,Wattle Range,Limestone Coast,South Australia - South East,47553
Beacon Hill,2100,NSW,Oxford Falls,Frenchs Forest - Oxford Falls,Warringah,Sydney - Northern Beaches,54926
Beaconsfield,2015,NSW,Beaconsfield (NSW),Rosebery - Beaconsfield,Sydney Inner City,Sydney - City and Inner South,59807
Beaconsfield,3807,VIC,Beaconsfield (Vic.),Berwick - South East,Casey - North,Melbourne - South East,50472
Beaconsfield,4740,QLD,West Mackay,West Mackay,Mackay,Mackay,61843
Beaconsfield,6162,WA,Beaconsfield (WA),Fremantle - South,Fremantle,Perth - South West,57873
Beaconsfield Upper,3808,VIC,Guys Hill,Beaconsfield - Officer,Cardinia,Melbourne - South East,52584
Beaudesert,4285,QLD,Woodhill (Qld),Jimboomba - Glenlogan,Jimboomba,Logan - Beaudesert,50254
Beaumaris,3193,VIC,Sandringham (Vic.),Sandringham - Black Rock,Bayside,Melbourne - Inner South,59622
Beaumont Hills,2155,NSW,Rouse Hill,Schofields - East,Blacktown - North,Sydney - Blacktown,63948
Beckenham,6107,WA,Wattle Grove (WA),Forrestfield - Wattle Grove,Kalamunda,Perth - South East,47369
Bedford,6052,WA,Bedford,Bayswater - Embleton - Bedford,Stirling,Perth - North West,60592
Beechboro,6063,WA,Bennett Springs,Beechboro,Swan,Perth - North East,52273
Beechmont,4211,QLD,Pacific Pines,Pacific Pines - Gaven,Robina,Gold Coast,50440
Beecroft,2119,NSW,Beecroft,Pennant Hills - Cheltenham,Pennant Hills - Epping,Sydney - Ryde,61019
Beeliar,6164,WA,Leeming,Jandakot,Cockburn,Perth - South West,61031
Beenleigh,4207,QLD,Edens Landing,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,49618
Beerwah,4519,QLD,Glass House Mountains,Glass House Mountains,Sunshine Coast Hinterland,Sunshine Coast,46284
Bega,2550,NSW,Yowrie,Deua - Wadbilliga,South Coast,Capital Region,46009
Belconnen,2617,ACT,O'Connor (ACT),O'Connor (ACT),North Canberra,Australian Capital Territory,63200
Beldon,6027,WA,Ocean Reef,Ocean Reef,Wanneroo,Perth - North West,57464
Belfield,2191,NSW,Belfield,Belmore - Belfield,Strathfield - Burwood - Ashfield,Sydney - Inner West,46586
Belgrave South,3160,VIC,Tecoma,Upwey - Tecoma,Yarra Ranges,Melbourne - Outer East,56165
Belimbla Park,2570,NSW,Oran Park,Oran Park,Bringelly - Green Valley,Sydney - South West,55064
Belivah,4207,QLD,Edens Landing,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,49655
Bell Park,3215,VIC,Lovely Banks,Corio - Lovely Banks,Geelong,Geelong,50763
Bella Vista,2153,NSW,Winston Hills,Winston Hills,Parramatta,Sydney - Parramatta,60097
Bellambi,2518,NSW,East Corrimal,Corrimal - Tarrawanna - Bellambi,Wollongong,Illawarra,53973
Bellara,4507,QLD,Woorim,Bribie Island,Bribie - Beachmere,Moreton Bay - North,38816
Bellbird Heights,2325,NSW,Putty,Singleton Surrounds,Lower Hunter,Hunter Valley exc Newcastle,52543
Bellbird Park,4300,QLD,Bellbird Park,Bellbird Park,Springfield - Redbank,Ipswich,54115
Bellbowrie,4070,QLD,Pullenvale,Pinjarra Hills - Pullenvale,Ipswich Inner,Ipswich,60574
Bellbrae,3228,VIC,Torquay (Vic.),Torquay,Surf Coast - Bellarine Peninsula,Geelong,56102
Bellerive,7018,TAS,Rokeby (Tas.),Rokeby,Hobart - North East,Hobart,49962
Bellevue,6056,WA,Helena Valley,Kalamunda - Maida Vale - Gooseberry Hill,Kalamunda,Perth - South East,55209
Bellevue Hill,2022,NSW,Bondi Junction,Bondi Junction - Waverly,Eastern Suburbs - North,Sydney - Eastern Suburbs,64030
Bellevue Hill,2023,NSW,Bellevue Hill,Bellevue Hill,Eastern Suburbs - North,Sydney - Eastern Suburbs,73196
Belli Park,4562,QLD,Weyba Downs,Noosa Hinterland,Sunshine Coast Hinterland,Sunshine Coast,40780
Bells Bridge,4570,QLD,Kanigan,Maryborough Surrounds - South,Maryborough,Wide Bay,36468
Belmont,2280,NSW,Valentine,Valentine - Eleebana,Lake Macquarie - East,Newcastle and Lake Macquarie,55866
Belmont,3216,VIC,Waurn Ponds,Grovedale - Mount Duneed,Surf Coast - Bellarine Peninsula,Geelong,55866
Belmont,6104,WA,Belmont (WA),Belmont - Ascot - Redcliffe,Belmont - Victoria Park,Perth - South East,55866
Belmont North,2280,NSW,Valentine,Valentine - Eleebana,Lake Macquarie - East,Newcastle and Lake Macquarie,57490
Belmont South,2280,NSW,Valentine,Valentine - Eleebana,Lake Macquarie - East,Newcastle and Lake Macquarie,49141
Belmore,2192,NSW,Belmore,Belmore - Belfield,Canterbury,Sydney - Inner South West,46586
Belrose,2085,NSW,Davidson,Frenchs Forest - Oxford Falls,Warringah,Sydney - Northern Beaches,59516
Bendalong,2539,NSW,Manyana,Ulladulla Surrounds,Shoalhaven,Southern Highlands and Shoalhaven,35930
Bendigo,3550,VIC,White Hills (Vic.),White Hills - Ascot,Bendigo,Bendigo,49421
Bennett Springs,6063,WA,Bennett Springs,Beechboro,Swan,Perth - North East,52273
Benowa,4217,QLD,Surfers Paradise,Surfers Paradise - South,Surfers Paradise,Gold Coast,45590
Bensville,2251,NSW,Davistown,Saratoga - Davistown,Gosford,Central Coast,49903
Bentleigh,3204,VIC,Bentleigh East,Bentleigh East - South,Glen Eira,Melbourne - Inner South,59107
Bentleigh East,3165,VIC,Bentleigh East,Bentleigh East - South,Glen Eira,Melbourne - Inner South,57987
Bentley Park,4869,QLD,Wrights Creek (Qld),Gordonvale - Trinity,Cairns - South,Cairns,52873
Berala,2141,NSW,Lidcombe,Wentworth Point - Sydney Olympic Park,Auburn,Sydney - Parramatta,39969
Berkeley,2506,NSW,Berkeley,Berkeley - Lake Heights - Cringila,Dapto - Port Kembla,Illawarra,48006
Berkeley Vale,2261,NSW,Tuggerah,Tuggerah - Kangy Angy,Wyong,Central Coast,51002
Bermagui,2546,NSW,North Narooma,Narooma - Bermagui,South Coast,Capital Region,32606
Berowra,2081,NSW,Berowra,Berowra - Brooklyn - Cowan,Hornsby,Sydney - North Sydney and Hornsby,58721
Berowra Heights,2082,NSW,Berowra Heights,Berowra - Brooklyn - Cowan,Hornsby,Sydney - North Sydney and Hornsby,58721
Berridale,2628,NSW,Paupong,Jindabyne - Berridale,Snowy Mountains,Capital Region,45128
Berrima,2577,NSW,Wingello,Southern Highlands,Southern Highlands,Southern Highlands and Shoalhaven,47975
Berserker,4701,QLD,Wattlebank,Rockhampton Surrounds - North,Rockhampton,Fitzroy,50510
Bertram,6167,WA,Wandi,Casuarina - Wandi,Kwinana,Perth - South West,59556
Berwick,3806,VIC,Berwick,Berwick - South West,Casey - South,Melbourne - South East,54102
Bethania,4205,QLD,Bethania,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,49655
Beulah Park,5067,SA,Norwood (SA),Norwood (SA),Norwood - Payneham - St Peters,Adelaide - Central and Hills,55725
Beveridge,3753,VIC,Beveridge,Whittlesea,Whittlesea - Wallan,Melbourne - North East,52576
Beverly Hills,2209,NSW,Penshurst (NSW),Penshurst,Hurstville,Sydney - Inner South West,47572
Bexhill,2480,NSW,Dunoon,Lismore Surrounds,Richmond Valley - Hinterland,Richmond - Tweed,41076
Bexley,2207,NSW,Bexley,Bexley - South,Kogarah - Rockdale,Sydney - Inner South West,50360
Bexley North,2207,NSW,Bexley,Bexley - South,Kogarah - Rockdale,Sydney - Inner South West,50360
Bibra Lake,6163,WA,Kardinya,Murdoch - Kardinya,Melville,Perth - South West,46926
Bickley,6076,WA,Lesmurdie,Lesmurdie - Bickley - Carmel,Kalamunda,Perth - South East,53239
Bicton,6157,WA,Palmyra (WA),Bicton - Palmyra,Melville,Perth - South West,62207
Biggera Waters,4216,QLD,South Stradbroke,Hope Island,Ormeau - Oxenford,Gold Coast,44878
Bilambil Heights,2486,NSW,Tweed Heads South,Tweed Heads South,Tweed Valley,Richmond - Tweed,40709
Bilgola Plateau,2107,NSW,Bilgola Plateau,Newport - Bilgola,Pittwater,Sydney - Northern Beaches,59932
Bilinga,4225,QLD,Bilinga,Currumbin - Tugun,Coolangatta,Gold Coast,48794
Billinudgel,2483,NSW,Burringbar,Pottsville,Tweed Valley,Richmond - Tweed,42033
