nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,Median total income($)
Strathmore,3041,VIC,Strathmore (Vic.),Strathmore,Moreland - North,Melbourne - North West,62589
Strathmore Heights,3041,VIC,Strathmore (Vic.),Strathmore,Moreland - North,Melbourne - North West,62589
Strathnairn,2615,ACT,Strathnairn,Strathnairn,Cotter - Namadgi,Australian Capital Territory,68325
Strathpine,4500,QLD,Brendale,Strathpine - Brendale,Strathpine,Moreton Bay - South,51263
Strathtulloh,3338,VIC,Wyndham Vale,Wyndham Vale - North,Wyndham,Melbourne - West,52130
Stratton,6056,WA,Helena Valley,Kalamunda - Maida Vale - Gooseberry Hill,Kalamunda,Perth - South East,58035
Stream Hill,2526,NSW,Yerrinbool,Illawarra Catchment Reserve,Wollongong,Illawarra,67989
Stretton,4116,QLD,Drewvale,Parkinson - Drewvale,Sunnybank,Brisbane - South,44956
Stroud,2425,NSW,Stroud,Bulahdelah - Stroud,Great Lakes,Mid North Coast,40732
Sturt,5047,SA,Darlington (SA),Flagstaff Hill,Onkaparinga,Adelaide - South,52887
Subiaco,6008,WA,West Leederville,Wembley - West Leederville - Glendalough,Perth City,Perth - Inner,68261
Success,6164,WA,Leeming,Jandakot,Cockburn,Perth - South West,61948
Suffolk Park,2481,NSW,Myocum,Mullumbimby,Richmond Valley - Coastal,Richmond - Tweed,32532
Summer Hill,2130,NSW,Summer Hill (Inner West - NSW),Ashfield - South,Strathfield - Burwood - Ashfield,Sydney - Inner West,69043
Summerhill,7250,TAS,Westwood (Tas.),Hadspen - Carrick,North East,Launceston and North East,50188
Summerholm,4341,QLD,Laidley North,Lockyer Valley - East,Ipswich Hinterland,Ipswich,48755
Summerland Point,2259,NSW,Lake Macquarie,Wangi Wangi - Rathmines,Lake Macquarie - West,Newcastle and Lake Macquarie,47821
Sunbury,3429,VIC,Sunbury,Sunbury - West,Sunbury,Melbourne - North West,56589
Sunnybank,4109,QLD,Sunnybank Hills,Sunnybank Hills,Sunnybank,Brisbane - South,40110
Sunnybank Hills,4109,QLD,Sunnybank Hills,Sunnybank Hills,Sunnybank,Brisbane - South,41301
Sunrise Beach,4567,QLD,Sunshine Beach,Sunshine Beach,Noosa,Sunshine Coast,43370
Sunset Beach,6530,WA,Houtman Abrolhos,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback,41614
Sunshine,3020,VIC,Sunshine West,Derrimut,Brimbank,Melbourne - West,45591
Sunshine Beach,4567,QLD,Sunshine Beach,Sunshine Beach,Noosa,Sunshine Coast,43370
Sunshine North,3020,VIC,Sunshine West,Derrimut,Brimbank,Melbourne - West,42854
Sunshine West,3020,VIC,Sunshine West,Derrimut,Brimbank,Melbourne - West,45471
Surfers Paradise,4217,QLD,Surfers Paradise,Surfers Paradise - South,Surfers Paradise,Gold Coast,39644
Surrey Downs,5126,SA,Fairview Park,Redwood Park,Tea Tree Gully,Adelaide - North,53491
Surrey Hills,3127,VIC,Mont Albert,Surrey Hills (East) - Mont Albert,Whitehorse - West,Melbourne - Inner East,64023
Surry Hills,2010,NSW,Surry Hills,Surry Hills,Sydney Inner City,Sydney - City and Inner South,67312
Sussex Inlet,2540,NSW,Jervis Bay,Jervis Bay,Jervis Bay,Other Territories,37571
Sutherland,2232,NSW,Woronora,Woronora Heights,Sutherland - Menai - Heathcote,Sydney - Sutherland,61395
Sutton,2620,NSW,ACT Remainder - Rendezvous Creek,Namadgi,Tuggeranong,Australian Capital Territory,32923
Svensson Heights,4670,QLD,Walkervale,Walkervale - Avenell Heights,Burnett,Wide Bay,46227
